,gyrMag-median,gyrMag-std,accMag-median,accMag-std
0,310.165,6.164,3.259,1.407
1,333.872,15.288,2.558,1.15
2,120.595,7.874,2.65,1.322
3,284.893,5.82,1.914,1.337
4,303.548,5.645,2.332,1.159
5,312.062,12.392,3.009,1.291
6,304.015,9.122,2.616,1.202
7,167.348,18.299,3.027,1.8
8,244.031,51.95,1.509,7.112
9,298.775,79.089,3.821,5.624
10,153.922,51.885,4.522,6.789
11,294.908,9.355,2.393,1.048
12,164.868,54.418,4.005,3.513
13,265.368,22.245,2.645,2.175
14,316.43,12.196,1.932,0.908
15,322.954,12.684,2.877,1.453
16,237.256,14.608,2.437,0.981
18,273.347,9.16,2.601,1.37
19,281.819,4.32,2.334,1.389
21,141.769,36.751,2.71,1.63
22,161.169,64.442,5.452,6.219
23,313.057,21.578,2.249,1.182
24,315.775,40.347,3.141,2.31
25,325.998,10.207,2.807,1.282
26,281.058,74.667,3.641,6.523
27,228.909,11.419,1.866,0.926
29,292.363,75.419,2.846,5.261
30,277.633,8.126,2.639,1.319
31,153.049,16.838,2.688,0.945
32,312.97,20.932,2.619,1.067
33,295.337,15.08,2.519,1.363
35,235.926,33.462,0.625,0.643
36,136.806,6.266,2.635,1.293
37,167.011,11.513,0.609,0.656
38,162.271,2.093,0.346,1.169
39,166.691,6.112,0.209,0.708
40,165.918,1.553,0.496,0.361
41,165.533,3.355,0.178,1.331
43,161.337,0.354,0.171,0.057
44,155.605,4.398,0.461,1.084
45,160.47,1.595,0.234,0.463
46,155.451,0.213,0.121,0.048
47,165.665,1.415,0.09,0.044
48,169.26,63.375,1.302,1.306
49,155.645,0.196,0.104,0.051
50,154.127,0.177,0.104,0.053
51,171.72,8.443,0.658,0.325
53,163.185,0.779,0.273,0.385
54,163.464,5.745,0.182,1.768
55,154.99,0.296,0.136,0.069
56,165.446,5.016,0.123,0.058
57,164.485,38.198,0.469,0.572
58,164.463,0.62,0.592,0.272
59,161.555,0.433,0.172,0.06
60,159.728,2.025,0.137,0.541
61,164.365,3.052,0.15,0.899
64,160.981,0.315,0.148,0.069
65,162.04,0.498,0.182,0.073
66,164.158,0.81,0.561,0.256
67,163.933,0.703,0.149,0.101
68,165.001,0.651,0.224,0.315
69,156.643,5.664,0.469,3.375
70,161.159,0.232,0.128,0.049
71,162.526,0.622,0.124,0.28
72,154.988,0.186,0.13,0.073
73,160.082,1.545,0.128,0.085
