,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5,count,label,cattle_id,timestamp,timestamp_human
0,43.944,352.179,154.268,149.127,68.525,83.38,168.524,0.44,0.511,0.719,200.365,0.2,3.007,21.309,4.613,14.355,4.898,4.846,4.814,26.783,11.062,8.851,5.198,3.985,12.2,0.52,1.568,1.564,14.548,4.8,2.974,0.492,0.353,0.678,0.128,0.352,50,walking,goat03,1,1970-01-01 00:00:00.001
1,12.529,381.168,155.854,138.32,79.37,91.286,174.54,0.38,1.185,1.083,243.449,0.2,3.06,23.877,12.69,15.081,10.878,6.043,2.82,21.129,10.574,9.735,3.959,3.876,11.277,0.66,0.541,0.833,12.029,4.6,2.998,0.233,0.155,0.164,0.031,0.161,50,walking,goat03,10001,1970-01-01 00:00:10.001
2,16.833,266.522,104.146,87.698,62.165,77.108,120.969,0.44,0.346,0.95,187.98,0.2,3.072,23.939,1.314,10.56,6.653,6.045,6.798,18.313,10.189,9.671,2.4,2.265,10.462,0.64,2.376,1.364,7.102,4.0,3.028,0.103,0.188,0.11,0.249,0.189,50,walking,goat03,20001,1970-01-01 00:00:20.001
3,17.246,182.257,89.21,81.254,47.361,62.127,100.78,0.32,-0.91,0.52,131.637,0.4,2.964,3.351,20.463,4.15,5.351,6.456,6.91,17.528,10.469,10.101,2.164,2.257,10.686,0.54,1.35,1.087,6.533,5.0,2.98,0.159,0.1,0.184,0.055,0.063,50,walking,goat03,30001,1970-01-01 00:00:30.001
4,27.508,419.771,160.708,155.734,83.318,121.714,180.638,0.74,1.06,0.859,265.91,5.0,3.039,4.792,8.657,8.145,10.212,8.362,6.222,21.572,11.538,10.973,4.124,6.256,12.239,0.76,-0.354,0.684,11.619,5.0,2.859,0.068,0.177,0.016,0.393,0.161,50,walking,goat03,40001,1970-01-01 00:00:40.001
5,22.661,320.029,138.014,119.56,74.724,95.362,156.588,0.5,-0.274,0.607,235.129,0.2,3.071,24.482,11.831,7.587,6.223,8.434,4.672,23.802,10.68,10.128,3.973,3.866,11.381,0.68,2.621,1.413,11.308,4.6,2.945,0.157,0.149,0.311,0.37,0.258,50,walking,goat03,50001,1970-01-01 00:00:50.001
6,39.129,345.89,147.197,121.733,71.417,80.828,163.296,0.58,0.655,0.968,222.224,4.8,3.089,4.163,5.103,8.496,9.112,10.309,5.63,22.097,10.663,10.16,3.407,4.157,11.184,0.66,1.551,1.046,10.049,5.0,2.955,0.381,0.17,0.06,0.089,0.232,50,walking,goat03,60001,1970-01-01 00:01:00.001
7,42.44,392.533,173.741,165.826,73.746,100.98,188.456,0.62,0.216,0.553,214.761,2.8,3.013,9.206,5.001,3.569,6.098,6.913,4.564,25.552,11.309,10.132,4.429,5.154,12.129,0.54,0.93,1.016,13.195,4.2,3.046,0.333,0.118,0.185,0.33,0.613,50,walking,goat03,70001,1970-01-01 00:01:10.001
8,46.775,409.996,187.532,184.357,93.261,126.905,209.026,0.56,-0.416,0.565,287.37,2.8,3.058,14.523,10.796,5.453,0.281,12.543,3.444,24.848,10.437,9.724,4.261,4.14,11.257,0.5,2.122,1.339,13.064,4.2,3.065,0.854,0.428,0.22,0.321,0.16,50,walking,goat03,80001,1970-01-01 00:01:20.001
9,13.805,557.856,183.997,170.495,108.213,129.628,212.91,0.4,1.346,1.054,338.887,0.2,3.078,30.839,23.705,10.732,16.106,17.689,4.606,21.416,11.014,10.347,3.802,4.154,11.639,0.5,0.691,0.926,11.126,3.4,2.996,0.462,0.238,0.458,0.685,0.648,50,walking,goat03,90001,1970-01-01 00:01:30.001
10,39.238,400.189,146.865,127.381,71.531,67.458,163.045,0.46,2.578,1.606,218.886,2.0,3.075,10.544,2.366,3.281,7.969,6.103,6.413,24.65,11.415,10.648,4.049,5.006,12.098,0.64,1.314,1.204,12.609,4.0,3.043,0.236,0.314,0.305,0.61,0.245,50,walking,goat03,100001,1970-01-01 00:01:40.001
11,13.021,270.522,100.915,87.023,64.389,97.76,119.36,0.36,-0.145,0.699,179.141,0.4,2.982,8.95,28.915,4.634,10.683,6.848,4.681,16.645,10.536,10.55,1.787,1.763,10.684,0.48,3.009,0.182,5.435,2.6,3.052,0.367,0.392,0.101,0.358,0.445,50,walking,goat03,110001,1970-01-01 00:01:50.001
12,28.663,537.687,207.209,183.371,126.049,149.094,241.881,0.6,0.576,1.072,375.309,0.2,3.019,36.785,22.531,20.179,12.305,9.137,3.265,30.7,11.585,10.636,5.22,3.955,12.685,0.46,2.594,1.386,15.337,4.0,3.029,0.491,0.821,0.778,0.641,0.552,50,walking,goat03,120001,1970-01-01 00:02:00.001
13,26.621,386.63,164.797,147.496,89.361,92.883,187.039,0.56,0.256,0.946,242.536,2.6,2.942,7.36,12.507,3.627,6.861,10.887,5.826,25.132,11.32,9.388,5.185,3.812,12.43,0.54,0.49,1.28,13.58,4.8,2.893,0.153,0.076,0.377,0.352,0.202,50,walking,goat03,130001,1970-01-01 00:02:10.001
14,16.699,459.329,120.78,79.856,90.539,92.616,150.403,0.42,2.578,1.553,278.432,0.4,3.06,13.298,26.353,6.635,3.629,0.942,5.884,24.327,11.231,9.943,3.765,4.406,11.833,0.5,1.455,1.271,10.629,4.4,2.967,0.248,0.233,0.218,0.1,0.181,50,walking,goat03,140001,1970-01-01 00:02:20.001
15,20.052,500.468,110.705,88.841,81.602,75.696,137.045,0.28,8.678,2.48,240.067,0.2,3.0,26.422,13.524,1.745,8.234,2.877,5.104,23.268,10.632,9.848,3.372,2.96,11.144,0.48,3.627,1.693,9.837,1.8,3.019,0.314,0.142,0.299,0.266,0.211,50,walking,goat03,150001,1970-01-01 00:02:30.001
16,11.882,284.21,132.505,131.004,61.606,102.218,145.866,0.46,-0.603,0.258,194.221,1.0,3.092,5.185,3.518,4.937,5.293,18.235,5.028,24.514,10.928,9.823,4.225,3.545,11.701,0.58,1.526,1.332,12.131,4.8,2.959,0.224,0.321,0.255,0.357,0.452,50,walking,goat03,160001,1970-01-01 00:02:40.001
17,11.733,341.313,135.33,129.931,64.677,74.307,149.712,0.5,0.673,0.686,205.047,2.6,3.074,10.85,8.286,4.869,9.565,8.331,6.047,21.769,10.544,9.209,3.643,4.264,11.143,0.5,1.716,1.448,10.617,5.0,2.939,0.236,0.153,0.375,0.33,0.157,50,walking,goat03,170001,1970-01-01 00:02:50.001
18,81.505,790.89,276.319,225.7,169.621,234.64,323.339,0.52,0.519,1.088,495.804,4.0,2.998,2.067,41.436,17.875,17.99,11.373,4.896,27.817,12.26,11.574,4.751,5.647,13.131,0.56,0.998,0.922,15.13,4.0,3.101,0.445,0.545,0.841,0.313,0.226,50,walking,goat03,180001,1970-01-01 00:03:00.001
19,5.987,377.319,172.874,158.612,85.983,121.053,192.693,0.54,-0.5,0.436,244.811,3.2,3.002,1.104,2.574,8.695,3.535,8.114,3.896,17.379,10.504,10.626,3.208,4.309,10.973,0.52,-0.568,0.176,10.052,3.8,3.084,0.612,0.294,0.51,0.404,0.372,50,walking,goat03,190001,1970-01-01 00:03:10.001
20,1.856,322.721,115.984,107.944,69.732,85.25,134.972,0.4,0.353,0.771,198.41,0.2,2.979,26.578,11.189,8.123,4.724,5.339,4.318,19.938,10.358,9.853,3.494,3.41,10.921,0.48,0.866,0.958,10.689,4.8,3.014,0.335,0.017,0.461,0.269,0.193,50,walking,goat03,200001,1970-01-01 00:03:20.001
21,25.904,365.11,158.722,151.057,77.154,99.509,176.143,0.46,0.064,0.691,255.342,0.4,3.151,13.914,17.222,10.023,6.594,7.987,4.751,20.472,10.52,9.717,3.617,4.649,11.113,0.48,0.552,0.954,10.92,2.4,3.051,0.465,0.222,0.28,0.362,0.273,50,walking,goat03,210001,1970-01-01 00:03:30.001
22,6.78,449.497,160.052,131.856,98.516,107.142,187.425,0.42,1.022,1.116,322.461,2.8,3.13,6.163,16.295,12.856,15.787,18.025,4.581,22.998,11.023,10.175,3.614,4.031,11.589,0.62,1.564,1.074,11.121,4.6,3.048,0.35,0.42,0.533,0.669,0.346,50,walking,goat03,220001,1970-01-01 00:03:40.001
23,30.243,568.571,201.086,183.634,111.927,157.718,229.593,0.5,1.154,0.991,335.709,1.4,3.018,8.745,9.11,19.072,9.638,5.962,3.114,27.105,11.217,10.727,4.491,3.7,12.066,0.58,1.978,1.212,13.669,4.8,3.042,0.088,0.745,0.128,0.421,0.273,50,walking,goat03,230001,1970-01-01 00:03:50.001
24,12.092,251.861,99.407,81.983,61.355,79.088,116.494,0.46,0.174,0.939,204.471,4.8,3.159,10.432,11.377,4.235,5.163,8.966,7.053,17.204,10.208,10.417,1.927,1.975,10.385,0.56,2.148,1.017,5.906,4.0,3.038,0.234,0.047,0.125,0.15,0.076,50,walking,goat03,240001,1970-01-01 00:04:00.001
25,41.402,367.47,145.587,137.454,74.243,99.689,163.086,0.5,0.404,0.926,222.511,4.6,3.038,21.648,18.74,5.135,4.626,4.078,3.962,20.97,10.656,9.799,3.626,4.117,11.245,0.7,0.221,0.813,10.072,4.6,2.931,0.126,0.37,0.146,0.112,0.239,50,walking,goat03,250001,1970-01-01 00:04:10.001
26,18.086,364.861,128.625,112.177,87.17,119.118,154.89,0.2,0.733,1.074,268.642,0.2,3.076,33.392,16.924,6.119,14.585,13.694,5.565,20.114,9.76,9.379,2.762,2.658,10.136,0.62,2.915,1.33,8.211,4.6,3.019,0.135,0.104,0.224,0.506,0.21,50,walking,goat03,260001,1970-01-01 00:04:20.001
27,10.554,209.478,87.34,80.482,40.304,51.562,96.022,0.38,0.399,0.489,131.661,0.4,3.126,9.611,9.764,8.912,3.177,4.598,4.908,18.666,10.102,10.013,2.484,2.147,10.397,0.68,2.185,0.963,7.519,4.6,3.054,0.221,0.113,0.228,0.153,0.138,50,walking,goat03,270001,1970-01-01 00:04:30.001
28,11.093,357.983,124.059,106.372,80.863,96.812,147.644,0.54,0.499,0.921,250.342,2.4,3.084,20.665,12.024,12.376,5.868,4.801,5.411,22.716,10.346,9.666,3.455,3.322,10.896,0.54,2.698,1.468,10.931,2.6,3.072,0.201,0.294,0.488,0.294,0.156,50,walking,goat03,280001,1970-01-01 00:04:40.001
29,35.16,488.247,160.948,124.786,125.601,116.976,203.383,0.48,0.35,1.216,373.593,1.2,3.009,27.564,23.966,16.445,14.658,15.031,5.411,24.849,10.714,9.667,3.659,4.647,11.31,0.74,2.75,1.383,11.579,4.8,3.066,0.514,0.491,0.208,0.097,0.288,50,walking,goat03,290001,1970-01-01 00:04:50.001
30,25.64,219.969,109.43,104.902,50.653,64.627,120.372,0.5,-0.506,0.378,156.692,5.0,3.021,12.876,4.853,0.779,10.426,2.646,5.578,19.59,10.736,9.84,3.274,1.943,11.215,0.54,1.247,1.39,9.859,4.8,3.022,0.247,0.177,0.15,0.258,0.093,50,walking,goat03,300001,1970-01-01 00:05:00.001
31,19.094,340.012,107.34,100.421,61.773,71.941,123.538,0.38,3.467,1.598,183.264,0.2,3.023,21.245,4.059,12.024,6.616,5.941,4.335,21.954,10.509,9.787,3.345,2.036,11.018,0.6,3.53,1.81,10.251,4.6,3.034,0.363,0.437,0.149,0.582,0.563,50,walking,goat03,310001,1970-01-01 00:05:10.001
32,13.758,204.954,95.856,93.287,45.789,62.744,106.033,0.46,-0.573,0.372,143.958,1.4,3.101,9.518,6.298,7.738,7.086,10.575,6.769,18.261,10.346,9.826,2.151,2.707,10.563,0.64,2.14,1.102,5.947,4.0,2.976,0.124,0.067,0.076,0.094,0.182,50,walking,goat03,320001,1970-01-01 00:05:20.001
33,7.162,159.579,63.027,50.694,39.631,55.272,74.24,0.42,-0.266,0.77,120.661,0.4,3.053,5.234,10.02,8.594,9.149,3.585,7.67,13.414,10.237,10.104,1.201,1.335,10.306,0.48,0.375,0.373,3.419,1.6,2.973,0.088,0.139,0.116,0.057,0.045,50,walking,goat03,330001,1970-01-01 00:05:30.001
34,18.24,432.718,132.852,111.99,88.763,124.211,159.283,0.24,1.169,1.018,257.857,0.2,3.027,36.549,17.665,18.167,4.453,13.267,3.674,30.594,10.86,9.942,4.912,2.483,11.899,0.48,4.828,2.038,15.689,2.2,3.108,0.571,0.38,0.273,0.241,0.335,50,walking,goat03,340001,1970-01-01 00:05:40.001
35,10.918,228.217,102.693,97.821,59.014,81.527,118.148,0.54,-0.7,0.47,179.072,4.8,3.058,16.41,9.049,9.089,4.126,1.678,5.347,17.715,10.345,10.359,2.019,2.317,10.537,0.66,3.0,0.822,5.698,3.8,2.967,0.111,0.051,0.15,0.007,0.068,50,walking,goat03,350001,1970-01-01 00:05:50.001
36,19.825,289.956,88.442,85.095,49.457,57.168,101.09,0.38,4.245,1.616,158.007,0.2,3.079,14.219,8.622,10.245,5.454,6.644,4.979,16.516,10.248,10.125,1.893,1.764,10.418,0.56,1.993,0.477,6.007,4.6,3.082,0.21,0.068,0.112,0.084,0.179,50,walking,goat03,360001,1970-01-01 00:06:00.001
37,9.096,357.923,115.424,106.335,68.515,90.267,133.877,0.46,1.526,1.009,223.141,0.2,3.125,17.841,10.157,4.372,14.066,11.957,5.946,18.191,10.286,9.527,2.599,3.013,10.603,0.7,0.911,1.003,8.07,5.0,2.992,0.233,0.205,0.183,0.227,0.094,50,walking,goat03,370001,1970-01-01 00:06:10.001
38,8.618,123.913,58.91,56.383,28.702,43.833,65.405,0.4,-0.522,0.379,86.145,0.8,3.044,3.142,4.074,8.879,9.137,5.462,8.165,13.276,10.181,10.073,0.997,1.128,10.229,0.38,0.555,0.522,3.228,3.2,3.123,0.073,0.061,0.063,0.217,0.07,50,walking,goat03,380001,1970-01-01 00:06:20.001
39,27.709,401.333,159.624,139.528,88.973,115.013,182.312,0.52,0.128,0.842,287.784,3.4,3.11,13.907,19.617,8.282,12.78,8.455,4.81,20.581,10.455,10.005,3.297,2.7,10.953,0.56,2.359,1.403,10.402,5.0,3.05,0.051,0.347,0.143,0.268,0.24,50,walking,goat03,390001,1970-01-01 00:06:30.001
40,39.652,492.241,163.288,142.107,97.975,105.692,189.921,0.48,1.929,1.355,315.808,3.0,3.116,20.841,21.065,18.979,7.899,11.014,5.93,18.748,11.096,10.766,2.942,3.234,11.472,0.5,-0.076,0.498,9.037,5.0,3.018,0.203,0.427,0.232,0.126,0.34,50,walking,goat03,400001,1970-01-01 00:06:40.001
41,8.064,325.631,89.017,81.558,60.17,69.226,107.107,0.3,3.073,1.32,189.119,2.4,3.101,16.255,4.421,7.342,6.587,9.335,7.132,18.305,10.385,10.384,1.725,1.754,10.524,0.58,7.288,1.786,5.598,3.6,3.126,0.175,0.178,0.033,0.218,0.139,50,walking,goat03,410001,1970-01-01 00:06:50.001
42,30.207,358.909,131.098,107.132,68.597,83.028,147.642,0.42,1.387,1.194,222.837,2.6,3.102,10.321,12.006,3.966,15.297,2.247,5.482,25.828,10.68,9.457,4.06,5.164,11.411,0.66,2.345,1.386,12.316,4.8,3.047,0.329,0.212,0.284,0.486,0.306,50,walking,goat03,420001,1970-01-01 00:07:00.001
43,25.783,278.242,129.635,121.746,51.64,65.622,139.35,0.6,0.624,0.622,162.219,4.4,3.095,4.013,5.743,2.762,3.927,5.521,5.918,21.244,10.513,9.743,3.311,4.046,11.012,0.64,1.676,1.263,9.182,4.6,2.967,0.122,0.065,0.325,0.412,0.229,50,walking,goat03,430001,1970-01-01 00:07:10.001
44,18.86,263.994,107.548,93.233,61.766,73.464,123.714,0.4,0.096,0.992,180.873,0.2,3.012,23.425,4.392,6.583,1.819,5.45,6.566,21.123,10.358,9.864,3.032,2.431,10.784,0.64,3.917,1.929,9.782,5.0,3.05,0.265,0.15,0.108,0.307,0.162,50,walking,goat03,440001,1970-01-01 00:07:20.001
45,4.892,348.684,135.08,127.376,61.686,57.966,148.242,0.58,3.159,1.372,190.364,5.0,3.021,5.524,3.884,3.288,7.876,4.288,5.901,24.944,11.59,9.911,4.407,5.896,12.384,0.58,0.206,0.989,11.864,5.0,2.804,0.202,0.196,0.228,0.18,0.154,50,walking,goat03,450001,1970-01-01 00:07:30.001
46,31.204,252.195,89.92,75.41,47.44,43.114,101.445,0.42,3.294,1.777,156.192,0.2,3.149,12.06,8.675,6.264,4.176,3.346,7.941,13.129,10.24,9.947,1.085,1.719,10.296,0.58,-0.336,0.268,3.356,4.0,3.074,0.137,0.079,0.058,0.057,0.1,50,walking,goat03,460001,1970-01-01 00:07:40.001
47,11.552,150.555,59.899,53.948,28.893,38.181,66.378,0.46,0.884,0.883,96.418,5.0,3.122,3.459,4.431,0.364,2.876,3.409,8.022,12.02,10.101,10.157,0.99,1.467,10.148,0.56,-0.914,0.095,3.073,3.4,3.075,0.1,0.042,0.099,0.076,0.092,50,walking,goat03,470001,1970-01-01 00:07:50.001
48,11.22,303.923,98.608,79.298,61.218,63.747,115.742,0.28,1.641,1.406,185.482,1.0,3.03,13.694,9.915,11.991,9.038,14.14,6.525,19.512,10.183,9.379,2.776,2.653,10.547,0.58,2.308,1.524,8.213,4.2,3.03,0.18,0.142,0.193,0.102,0.436,50,walking,goat03,480001,1970-01-01 00:08:00.001
49,26.351,182.884,91.13,82.298,43.573,67.35,100.824,0.42,-0.609,0.555,140.702,0.4,3.122,8.317,11.589,2.614,4.303,1.894,7.096,18.731,10.628,10.274,2.24,2.111,10.857,0.58,2.838,1.432,7.012,3.8,3.088,0.329,0.085,0.148,0.291,0.134,50,walking,goat03,490001,1970-01-01 00:08:10.001
