,timestamp,predicted_label
0,1,walking
1,10001,walking
2,20001,walking
3,30001,walking
4,40001,walking
5,50001,walking
6,60001,walking
7,70001,walking
8,80001,walking
9,90001,walking
10,100001,walking
11,110001,walking
12,120001,walking
13,130001,walking
14,140001,walking
15,150001,walking
16,160001,walking
17,170001,walking
18,180001,walking
19,190001,walking
20,200001,walking
21,210001,walking
22,220001,walking
23,230001,walking
24,240001,walking
25,250001,walking
26,260001,walking
27,270001,walking
28,280001,walking
29,290001,walking
30,300001,walking
31,310001,walking
32,320001,walking
33,330001,grazing
34,340001,walking
35,350001,walking
36,360001,walking
37,370001,walking
38,380001,grazing
39,390001,walking
40,400001,walking
41,410001,walking
42,420001,walking
43,430001,walking
44,440001,walking
45,450001,walking
46,460001,walking
47,470001,grazing
48,480001,walking
49,490001,walking
50,500001,walking
51,510001,walking
52,520001,walking
53,530001,walking
54,540001,walking
55,550001,walking
56,560001,walking
57,570001,walking
58,580001,walking
59,590001,walking
60,600001,walking
61,610001,walking
62,620001,walking
63,630001,walking
64,640001,walking
65,650001,walking
66,660001,walking
67,670001,walking
68,680001,walking
69,690001,walking
70,700001,walking
71,710001,walking
72,720001,walking
73,730001,walking
74,740001,walking
75,750001,walking
76,760001,walking
77,770001,walking
78,780001,walking
79,790001,walking
80,800001,walking
81,810001,walking
82,820001,walking
83,830001,walking
84,840001,walking
85,850001,walking
86,860001,walking
87,870001,walking
88,880001,walking
89,890001,walking
90,900001,walking
91,910001,walking
92,920001,walking
93,930001,walking
94,940001,walking
95,950001,walking
96,960001,walking
97,970001,walking
98,980001,walking
99,990001,walking
100,3610401,standing
101,3620401,standing
102,3630401,standing
103,3640401,standing
104,3650401,standing
105,3660401,standing
106,3670401,standing
107,3680401,standing
108,3690401,standing
109,3700401,standing
110,3710401,standing
111,3720401,standing
112,3730401,standing
113,3740401,standing
114,3750401,standing
115,3760401,standing
116,3770401,standing
117,3780401,standing
118,3790401,standing
119,3800401,standing
120,3810401,standing
121,3820401,standing
122,3830401,standing
123,3840401,standing
124,3850401,standing
125,3860401,standing
126,3870401,standing
127,3880401,standing
128,3890401,standing
129,3900401,standing
130,3910401,standing
131,3920401,standing
132,3930401,standing
133,3940401,standing
134,3950401,standing
135,3960401,standing
136,3970401,standing
137,3980401,standing
138,3990401,standing
139,4000401,standing
140,4010401,standing
141,4020401,standing
142,4030401,standing
143,4040401,standing
144,4050401,standing
145,4060401,standing
146,4070401,standing
147,4080401,standing
148,4090401,standing
149,4100401,standing
150,4110401,standing
151,4120401,standing
152,4130401,standing
153,4140401,standing
154,4150401,standing
155,4160401,standing
156,4170401,standing
157,4180401,standing
158,4190401,standing
159,4200401,standing
160,4210401,standing
161,4220401,standing
162,4230401,standing
163,4240401,standing
164,4250401,standing
165,4260401,standing
166,4270401,standing
167,4280401,standing
168,4290401,standing
169,4300401,standing
170,4310401,standing
171,4320401,standing
172,4330401,standing
173,4340401,standing
174,4350401,standing
175,4360401,standing
176,4370401,standing
177,4380401,standing
178,4390401,standing
179,4400401,standing
180,4410401,standing
181,4420401,standing
182,4430401,standing
183,4440401,standing
184,4450401,standing
185,4460401,standing
186,4470401,standing
187,4480401,standing
188,4490401,standing
189,4500401,standing
190,4510401,standing
191,4520401,standing
192,4530401,standing
193,4540401,standing
194,4550401,standing
195,4560401,standing
196,4570401,standing
197,4580401,standing
198,4590401,standing
199,4600401,standing
200,13066101,grazing
201,13076101,standing
202,13086101,grazing
203,13096101,grazing
204,13106101,grazing
205,13116101,grazing
206,13126101,grazing
207,13136101,grazing
208,13146101,grazing
209,13156101,standing
210,13166101,standing
211,13176101,grazing
212,13186101,grazing
213,13196101,grazing
214,13206101,walking
215,13216101,walking
216,13226101,grazing
217,13236101,grazing
218,13246101,grazing
219,13256101,grazing
220,13266101,walking
221,13276101,walking
222,13286101,walking
223,13296101,walking
224,13306101,walking
225,13316101,grazing
226,13326101,grazing
227,13336101,walking
228,13346101,walking
229,13356101,grazing
230,13366101,walking
231,13376101,grazing
232,13386101,walking
233,13396101,walking
234,13406101,grazing
235,13416101,walking
236,13426101,grazing
237,13436101,walking
238,13446101,grazing
239,13456101,walking
240,13466101,grazing
241,13476101,grazing
242,13486101,grazing
243,13496101,grazing
244,13506101,standing
245,13516101,grazing
246,13526101,grazing
247,13536101,grazing
248,13546101,grazing
249,13556101,grazing
250,13566101,grazing
251,13576101,grazing
252,13586101,standing
253,13596101,grazing
254,13606101,walking
255,13616101,walking
256,13626101,grazing
257,13636101,grazing
258,13646101,grazing
259,13656101,walking
260,13666101,grazing
261,13676101,walking
262,13686101,walking
263,13696101,walking
264,13706101,walking
265,13716101,walking
266,13726101,walking
267,13736101,walking
268,13746101,walking
269,13756101,grazing
270,13766101,grazing
271,13776101,walking
272,13786101,grazing
273,13796101,walking
274,13806101,walking
275,13816101,walking
276,13826101,walking
277,13836101,walking
278,13846101,grazing
279,13856101,walking
280,13866101,grazing
281,13876101,walking
282,13886101,walking
283,13896101,walking
284,13906101,grazing
285,13916101,walking
286,13926101,walking
287,13936101,walking
288,13946101,grazing
289,13956101,walking
290,13966101,walking
291,13976101,walking
292,13986101,walking
293,13996101,grazing
294,14006101,walking
295,14016101,grazing
296,14026101,walking
297,14036101,grazing
298,14046101,walking
299,14056101,walking
