,label
0,grazing
2,grazing
3,grazing
4,grazing
5,grazing
6,grazing
7,grazing
8,grazing
9,grazing
10,grazing
11,grazing
12,grazing
13,grazing
14,grazing
15,grazing
16,grazing
17,grazing
18,grazing
19,grazing
20,grazing
21,grazing
22,grazing
23,grazing
24,grazing
25,grazing
26,grazing
27,grazing
28,grazing
29,grazing
30,grazing
31,grazing
32,grazing
33,grazing
34,grazing
36,grazing
37,grazing
38,grazing
39,grazing
40,grazing
41,grazing
42,grazing
43,grazing
45,grazing
46,grazing
47,grazing
48,grazing
49,grazing
50,grazing
51,grazing
52,grazing
53,grazing
54,grazing
55,grazing
56,grazing
57,grazing
58,grazing
59,grazing
60,grazing
61,grazing
62,grazing
63,grazing
64,grazing
65,grazing
66,grazing
67,grazing
68,grazing
69,grazing
70,grazing
71,grazing
72,grazing
73,grazing
74,grazing
75,grazing
76,grazing
77,grazing
79,grazing
80,grazing
81,grazing
82,grazing
83,grazing
84,grazing
85,grazing
86,grazing
87,grazing
88,grazing
89,grazing
90,grazing
91,grazing
92,grazing
93,grazing
94,grazing
95,grazing
96,grazing
97,grazing
99,grazing
100,grazing
101,grazing
102,grazing
104,grazing
105,grazing
106,grazing
107,grazing
108,grazing
109,grazing
110,grazing
111,grazing
112,grazing
113,grazing
114,grazing
116,grazing
117,grazing
119,grazing
121,grazing
122,grazing
124,grazing
126,grazing
127,grazing
128,grazing
130,grazing
133,grazing
134,grazing
135,grazing
136,grazing
137,grazing
138,grazing
139,grazing
140,standing
141,standing
142,standing
143,standing
144,standing
145,standing
146,standing
147,standing
148,standing
149,standing
150,standing
151,standing
152,standing
153,standing
154,standing
155,standing
156,standing
157,standing
158,standing
159,standing
160,standing
161,standing
162,standing
163,standing
164,standing
165,standing
166,standing
167,standing
168,standing
169,standing
171,standing
172,standing
173,standing
174,standing
176,standing
177,standing
178,standing
180,standing
181,standing
182,standing
183,standing
184,standing
185,standing
186,standing
187,standing
188,standing
189,standing
190,standing
191,standing
192,standing
193,standing
195,standing
197,standing
198,standing
199,standing
200,standing
201,standing
202,standing
203,standing
204,standing
205,standing
206,standing
207,standing
208,standing
209,standing
211,standing
212,standing
213,standing
214,standing
215,standing
217,standing
218,standing
219,standing
220,standing
221,standing
222,standing
223,standing
224,standing
225,standing
226,standing
227,standing
228,standing
229,standing
230,standing
232,standing
233,standing
234,standing
235,standing
236,standing
237,standing
239,standing
240,standing
241,standing
242,standing
243,standing
244,standing
245,standing
246,standing
248,standing
249,standing
250,standing
251,standing
253,standing
254,standing
255,standing
256,standing
257,standing
258,standing
259,standing
260,standing
261,standing
263,standing
264,standing
265,standing
266,standing
268,standing
269,standing
270,standing
271,standing
272,standing
274,standing
275,standing
276,standing
277,standing
278,standing
279,standing
280,walking
281,walking
282,walking
283,walking
284,walking
285,walking
286,walking
287,walking
289,walking
290,walking
291,walking
292,walking
293,walking
294,walking
295,walking
296,walking
297,walking
298,walking
299,walking
300,walking
301,walking
302,walking
303,walking
304,walking
305,walking
306,walking
307,walking
308,walking
309,walking
310,walking
311,walking
312,walking
314,walking
315,walking
316,walking
318,walking
319,walking
320,walking
321,walking
322,walking
324,walking
325,walking
327,walking
328,walking
329,walking
330,walking
331,walking
332,walking
333,walking
334,walking
336,walking
337,walking
338,walking
339,walking
340,walking
341,walking
342,walking
344,walking
345,walking
346,walking
347,walking
348,walking
349,walking
350,walking
351,walking
352,walking
353,walking
354,walking
355,walking
356,walking
357,walking
358,walking
359,walking
360,walking
361,walking
362,walking
363,walking
364,walking
365,walking
366,walking
367,walking
369,walking
370,walking
371,walking
372,walking
373,walking
374,walking
375,walking
376,walking
377,walking
378,walking
379,walking
380,walking
381,walking
383,walking
384,walking
385,walking
386,walking
389,walking
390,walking
392,walking
393,walking
394,walking
395,walking
397,walking
398,walking
400,walking
401,walking
402,walking
403,walking
404,walking
405,walking
406,walking
407,walking
408,walking
409,walking
410,walking
411,walking
412,walking
413,walking
414,walking
415,walking
416,walking
417,walking
418,walking
419,walking
