,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
1,8.761,122.507,46.648,42.455,24.958,35.276,52.787,0.38,0.862,0.998,75.693,0.2,3.056,8.291,2.311,0.2,4.312,3.721,6.057,15.397,10.171,10.357,1.914,1.769,10.345,0.64,0.399,0.009,5.986,3.2,3.089,0.135,0.095,0.099,0.16,0.124
2,9.971,288.894,49.821,40.092,46.97,33.788,68.148,0.32,11.841,3.024,149.101,0.4,3.102,8.865,14.124,6.867,3.811,11.242,3.034,19.136,9.948,9.755,2.394,1.295,10.227,0.44,5.437,1.149,7.532,3.0,3.081,0.199,0.277,0.228,0.329,0.373
3,5.654,187.07,48.433,36.959,36.412,26.936,60.375,0.22,4.296,2.077,95.609,0.2,2.872,11.871,9.208,9.368,10.44,9.257,7.312,12.619,9.977,9.975,1.227,1.501,10.051,0.64,-0.111,0.045,3.799,4.2,3.061,0.099,0.029,0.105,0.072,0.122
4,7.239,95.707,39.931,40.01,20.255,28.949,44.682,0.44,0.268,0.589,63.709,0.4,3.087,2.208,5.613,4.88,5.409,1.452,6.381,18.105,10.001,9.971,1.908,1.804,10.178,0.48,5.01,1.468,6.2,5.0,3.102,0.166,0.429,0.178,0.115,0.503
5,7.104,241.676,84.221,67.204,59.201,72.976,102.605,0.34,0.127,0.91,164.163,0.4,2.987,15.858,24.527,6.857,2.125,4.361,6.132,14.95,10.231,10.241,1.913,1.951,10.405,0.6,0.018,-0.121,6.321,4.6,3.124,0.167,0.259,0.28,0.135,0.045
6,4.287,258.759,105.274,93.928,61.616,89.53,121.669,0.46,-0.149,0.691,194.809,0.2,3.113,18.432,10.809,6.69,14.333,6.097,6.352,13.412,10.214,10.334,1.842,2.995,10.376,0.62,-0.946,-0.209,5.776,2.8,3.075,0.106,0.117,0.126,0.2,0.276
7,3.693,254.448,61.024,38.655,55.626,41.073,82.197,0.2,2.947,1.879,155.873,0.2,3.007,25.828,13.893,6.752,3.845,4.891,2.58,14.609,10.433,10.425,2.269,2.709,10.672,0.6,1.497,-0.668,7.524,2.2,3.131,0.259,0.198,0.155,0.264,0.156
8,6.753,109.973,42.362,33.792,27.889,33.0,50.565,0.28,0.186,1.051,76.723,0.6,2.945,4.005,9.624,9.713,5.037,4.595,3.326,15.938,9.98,10.045,1.942,1.275,10.164,0.48,3.488,-0.264,5.895,4.6,3.057,0.265,0.126,0.179,0.102,0.177
10,13.707,152.286,61.298,59.154,30.681,38.551,68.41,0.5,0.57,0.885,100.516,5.0,3.082,3.001,4.183,4.122,5.091,3.615,6.145,16.403,10.461,9.927,2.112,2.939,10.667,0.5,-0.003,0.485,6.589,4.4,3.081,0.249,0.087,0.259,0.281,0.165
11,4.741,196.256,57.343,48.022,35.477,37.159,67.244,0.36,3.2,1.412,109.763,0.2,3.07,8.837,5.134,5.82,7.78,2.324,4.805,16.272,10.139,9.904,2.109,2.651,10.352,0.56,0.701,0.454,6.706,1.0,3.094,0.255,0.073,0.025,0.324,0.556
12,12.429,91.118,39.593,39.138,18.404,23.298,43.584,0.48,0.144,0.672,56.452,1.6,3.057,1.516,3.318,3.487,2.96,3.794,5.393,16.014,10.272,10.039,1.899,1.979,10.443,0.54,1.156,0.566,5.584,4.8,3.006,0.017,0.263,0.185,0.265,0.201
13,5.277,110.617,35.348,27.53,22.017,34.533,41.527,0.26,1.203,1.143,66.573,0.4,3.065,4.53,7.897,2.956,3.943,1.839,7.034,11.742,9.987,9.986,1.018,1.295,10.038,0.58,0.698,-0.791,3.192,4.6,3.095,0.127,0.094,0.163,0.056,0.097
14,9.041,71.048,37.629,37.811,15.345,25.261,40.58,0.52,-0.837,0.137,47.881,0.4,3.07,1.741,4.556,1.63,0.881,1.484,6.883,13.013,10.028,9.912,1.442,2.093,10.129,0.68,-0.432,0.031,4.184,4.8,3.011,0.087,0.012,0.081,0.123,0.045
