,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,count,label,cattle_id,timestamp,timestamp_human
0,268.008,308.225,282.111,274.487,13.902,23.576,282.445,0.023,-1.163,0.696,26.814,0.238,2.562,43,Stehen,DE0947746944,1536656768034,2018-09-11 09:06:08.034
1,235.418,265.803,255.642,257.821,7.776,11.523,255.757,0.07,-0.107,-0.835,17.214,0.238,2.689,43,Stehen,DE0947746944,1536656773034,2018-09-11 09:06:13.034
2,225.784,237.212,231.294,230.749,3.27,4.654,231.317,0.163,-0.964,0.255,6.896,0.238,2.572,43,Stehen,DE0947746944,1536656778034,2018-09-11 09:06:18.034
3,164.265,395.596,234.416,225.601,29.995,6.944,236.283,0.163,18.12,3.486,91.703,4.286,2.993,43,Stehen,DE0947746944,1536656783034,2018-09-11 09:06:23.034
4,163.488,395.73,204.584,170.019,84.625,5.369,221.019,0.07,1.331,1.823,218.931,0.238,2.817,43,Stehen,DE0947746944,1536656788034,2018-09-11 09:06:28.034
5,138.79,197.061,168.945,169.72,6.945,1.205,169.085,0.178,12.481,-0.746,22.45,3.182,3.075,45,Stehen,DE0947746944,1536656793034,2018-09-11 09:06:33.034
6,90.902,201.098,177.286,187.979,32.849,19.894,180.243,0.1,2.741,-2.059,83.076,0.4,2.811,50,Stehen,DE0947746944,1536656798034,2018-09-11 09:06:38.034
7,194.479,202.838,200.638,200.997,1.927,2.142,200.647,0.245,2.741,-1.639,4.538,0.625,2.817,49,Stehen,DE0947746944,1536656803034,2018-09-11 09:06:43.034
8,178.552,192.835,185.688,185.92,3.805,5.434,185.726,0.08,-0.93,-0.039,8.587,0.2,2.661,50,Stehen,DE0947746944,1536656808034,2018-09-11 09:06:48.034
9,183.95,193.838,189.269,189.175,2.737,4.831,189.288,0.163,-0.987,-0.257,5.402,0.417,2.486,49,Stehen,DE0947746944,1536656813034,2018-09-11 09:06:53.034
10,184.896,192.652,189.056,188.858,1.88,2.46,189.066,0.102,-0.453,-0.039,4.909,0.833,2.883,49,Stehen,DE0947746944,1536656818034,2018-09-11 09:06:58.034
11,184.586,200.711,192.589,193.059,3.116,3.935,192.614,0.143,0.485,-0.405,8.297,0.625,2.911,49,Stehen,DE0947746944,1536656823034,2018-09-11 09:07:03.034
12,92.94,398.053,233.832,199.271,108.971,190.615,257.507,0.041,-1.567,0.21,220.953,0.208,2.637,49,Stehen,DE0947746944,1536656828034,2018-09-11 09:07:08.034
13,171.761,175.146,173.587,173.489,1.092,1.5,173.59,0.02,-1.127,-0.235,2.085,0.2,2.575,50,Stehen,DE0947746944,1536656833034,2018-09-11 09:07:13.034
14,154.981,175.393,172.308,173.038,4.294,1.04,172.361,0.02,10.414,-3.415,12.169,0.6,2.97,50,Stehen,DE0947746944,1536656838034,2018-09-11 09:07:18.034
15,144.346,161.803,147.094,145.412,3.567,1.98,147.137,0.061,5.592,2.357,8.894,0.208,2.831,49,Stehen,DE0947746944,1536656843034,2018-09-11 09:07:23.034
16,142.78,146.336,144.395,144.508,0.972,1.281,144.398,0.04,-0.599,0.147,1.609,0.2,2.177,50,Stehen,DE0947746944,1536656848034,2018-09-11 09:07:28.034
17,145.585,208.752,154.008,151.461,14.162,0.825,154.644,0.041,10.406,3.434,38.683,0.417,2.891,49,Stehen,DE0947746944,1536656853034,2018-09-11 09:07:33.034
18,151.31,327.6,268.391,301.299,64.763,116.754,275.939,0.02,-0.985,-0.886,121.983,0.208,2.541,49,Stehen,DE0947746944,1536656858034,2018-09-11 09:07:38.034
19,252.205,306.152,271.864,269.312,11.412,10.278,272.098,0.143,1.737,1.287,27.485,0.208,2.798,49,Stehen,DE0947746944,1536656863034,2018-09-11 09:07:43.034
20,247.427,275.55,260.589,259.761,7.772,12.771,260.703,0.163,-0.972,0.157,16.4,0.208,2.548,49,Stehen,DE0947746944,1536656868034,2018-09-11 09:07:48.034
21,238.324,322.753,269.309,260.807,25.934,26.455,270.53,0.04,-0.421,0.946,45.473,0.2,2.411,50,Stehen,DE0947746944,1536656873034,2018-09-11 09:07:53.034
22,219.927,327.325,307.014,322.181,32.475,4.814,308.693,0.02,1.614,-1.795,72.183,0.2,2.726,50,Stehen,DE0947746944,1536656878034,2018-09-11 09:07:58.034
23,189.454,222.692,199.053,191.729,12.615,17.305,199.413,0.1,-0.798,0.908,16.271,1.0,1.443,10,Stehen,DE0947746944,1536656883034,2018-09-11 09:08:03.034
24,125.448,224.238,148.89,130.701,38.156,7.609,153.58,0.077,0.111,1.442,86.886,0.263,2.628,39,Stehen,DE0947746944,1536656888034,2018-09-11 09:08:08.034
25,126.917,130.389,127.868,127.452,1.057,0.472,127.872,0.02,0.411,1.425,2.164,0.2,2.659,50,Stehen,DE0947746944,1536656893034,2018-09-11 09:08:13.034
26,126.232,188.837,129.89,126.69,10.632,0.951,130.315,0.02,20.305,4.491,32.962,0.208,3.073,49,Stehen,DE0947746944,1536656898034,2018-09-11 09:08:18.034
27,221.181,308.36,247.418,243.667,19.386,13.388,248.161,0.122,2.323,1.668,49.773,0.208,2.843,49,Stehen,DE0947746944,1536656903034,2018-09-11 09:08:23.034
28,193.08,231.39,218.884,231.099,17.243,34.469,219.539,0.034,-1.531,-0.669,26.802,0.357,2.038,29,Stehen,DE0947746944,1536656908034,2018-09-11 09:08:28.034
29,134.239,228.32,155.617,137.099,33.991,5.706,159.2,0.024,-0.346,1.258,67.394,0.238,2.488,42,Stehen,DE0947746944,1536656922060,2018-09-11 09:08:42.060
30,131.815,136.058,134.681,134.922,0.979,0.901,134.684,0.073,1.031,-1.25,2.074,0.5,2.523,41,Stehen,DE0947746944,1536656927060,2018-09-11 09:08:47.060
31,130.969,134.334,133.301,133.569,0.742,0.586,133.303,0.143,2.568,-1.656,1.653,0.238,2.553,42,Stehen,DE0947746944,1536656932060,2018-09-11 09:08:52.060
32,133.826,134.267,134.023,134.015,0.141,0.225,134.023,0.188,-1.179,0.151,0.217,0.625,1.818,16,Stehen,DE0947746944,1536656937060,2018-09-11 09:08:57.060
33,325.688,373.942,335.758,333.052,11.44,8.004,335.947,0.091,3.896,2.126,24.907,0.312,2.511,33,Stehen,DE0947746944,1536656947074,2018-09-11 09:09:07.074
34,263.73,288.687,274.515,273.953,4.986,4.259,274.559,0.12,1.894,0.688,11.75,0.4,2.717,50,Liegen,DE0947746944,1536664924067,2018-09-11 11:22:04.067
35,274.924,279.225,276.379,276.411,0.799,0.845,276.38,0.2,2.464,0.978,2.104,0.2,2.887,50,Liegen,DE0947746944,1536664929067,2018-09-11 11:22:09.067
36,275.592,336.91,299.844,283.385,24.379,45.699,300.813,0.021,-1.763,0.212,42.579,0.208,2.475,48,Liegen,DE0947746944,1536664934067,2018-09-11 11:22:14.067
37,301.568,327.023,312.743,311.822,6.455,5.245,312.808,0.195,0.07,0.655,15.152,0.5,2.655,41,Liegen,DE0947746944,1536664939067,2018-09-11 11:22:19.067
38,265.274,329.298,317.216,320.224,14.769,5.334,317.551,0.244,7.584,-2.981,41.4,0.25,2.868,41,Liegen,DE0947746944,1536664944067,2018-09-11 11:22:24.067
39,321.017,347.855,336.107,335.484,6.952,8.995,336.177,0.119,-0.373,-0.308,13.706,0.238,2.5,42,Liegen,DE0947746944,1536664949067,2018-09-11 11:22:29.067
40,323.449,339.46,330.214,329.873,3.926,6.127,330.236,0.22,-0.788,0.324,9.373,0.5,2.732,41,Liegen,DE0947746944,1536664954067,2018-09-11 11:22:34.067
41,316.899,367.918,327.121,325.015,9.378,10.612,327.252,0.171,6.707,2.107,26.885,0.25,2.913,41,Liegen,DE0947746944,1536664959067,2018-09-11 11:22:39.067
42,75.864,368.031,240.052,367.083,145.818,290.084,279.945,0.244,-1.94,-0.246,376.831,0.5,2.833,41,Liegen,DE0947746944,1536664964067,2018-09-11 11:22:44.067
43,75.839,368.141,325.632,366.992,102.859,0.592,341.122,0.167,2.167,-2.041,302.649,5.0,2.888,42,Liegen,DE0947746944,1536664969067,2018-09-11 11:22:49.067
