,label
0,Liegen
3,Liegen
4,Liegen
6,Liegen
7,Liegen
8,Liegen
9,Liegen
10,Liegen
11,Liegen
13,Liegen
14,Liegen
15,Liegen
16,Liegen
17,Liegen
18,Liegen
19,Liegen
20,Liegen
21,Liegen
22,Liegen
23,Liegen
24,Liegen
25,Liegen
26,Liegen
27,Liegen
28,Liegen
29,Liegen
30,Liegen
31,Liegen
32,Liegen
33,Liegen
34,Liegen
35,Liegen
36,Liegen
37,Liegen
38,Stehen
39,Stehen
40,Stehen
41,Stehen
42,Stehen
43,Stehen
44,Stehen
45,Stehen
46,Stehen
47,Stehen
48,Stehen
49,Stehen
50,Stehen
51,Stehen
52,Stehen
53,Stehen
54,Stehen
55,Stehen
56,Stehen
58,Stehen
60,Stehen
61,Stehen
63,Stehen
64,Stehen
65,Stehen
66,Stehen
67,Stehen
68,Stehen
69,Stehen
70,Stehen
71,Stehen
72,Stehen
74,Stehen
75,Stehen
