cattle_id,label,gx,gy,gz,ax,ay,az,timestamp
Hanna,Gehen,0,-84.25,5.19,-0.07,0.23,0.47,1536658215739
Hanna,Gehen,0,-77.81,176.94,-0.38,0.28,1.24,1536662713125
Hanna,Gehen,0.06,-88.94,0.94,-0.02,0.23,-0.34,1536658221950
Hanna,Gehen,0.06,-73.13,175.38,-1.14,1.19,0.64,1536662715853
Hanna,Gehen,0.25,-70.75,171.56,-0.28,-0.6,1.69,1536671402019
Hanna,Gehen,0.38,-85,179.13,-0.35,-1.47,0.18,1536658119451
Hanna,Gehen,0.44,-74.69,-159.81,0.87,0.01,1.39,1536658058699
Hanna,Gehen,0.56,-78.44,129.81,-1.78,8.82,3.12,1536658667276
Hanna,Gehen,0.56,-73.06,-165.31,0.24,-1.55,-0.56,1536656988486
Hanna,Gehen,0.75,-81.25,-160.88,1.58,2.29,-1.78,1536663355370
Hanna,Gehen,0.81,-84.25,-174.5,-0.21,0.71,-0.45,1536668684781
Hanna,Gehen,0.81,-82.88,-104.56,0.26,-0.06,1.06,1536668685084
Hanna,Gehen,0.81,-63.56,168.13,-0.91,1.65,-2.72,1536657912121
Hanna,Gehen,0.81,-37.25,177.94,1.09,-1.43,6.61,1536670095301
Hanna,Gehen,0.94,-75.56,-159.94,-0.12,-0.24,0.22,1536658058598
Hanna,Gehen,1.06,-84.75,-176.38,0.06,-0.72,0.91,1536658055870
Hanna,Gehen,1.13,-81.75,-122.75,0.47,-6.04,0.76,1536658056274
Hanna,Gehen,1.13,-74.5,-175.38,-0.05,0.55,-1.5,1536657932176
Hanna,Gehen,1.19,-85.38,-176.06,0,0.59,0.72,1536663354461
Hanna,Gehen,1.5,-73.19,-171.81,-0.34,0.77,-0.54,1536656989092
Hanna,Gehen,1.63,-83.56,-174.19,-0.04,1.23,0.68,1536668684882
Hanna,Gehen,1.63,-53.38,175.69,-1.01,1.27,3.36,1536658128950
Hanna,Gehen,1.69,-87.56,177.75,0.01,-3.47,-5.85,1536659833333
Hanna,Gehen,1.81,-86.19,-176.38,-0.12,1.06,0.24,1536663354056
Hanna,Gehen,1.81,-78.06,179.44,-0.1,0.43,0.76,1536662713226
Hanna,Gehen,1.81,-56.69,-178.25,-0.05,-1.14,0.79,1536658124908
Hanna,Gehen,1.88,-74.31,146.75,0.46,2.1,-0.19,1536664757297
Hanna,Gehen,1.94,-88.94,179,1.42,0.14,-1.38,1536671405758
Hanna,Gehen,1.94,-83.25,-173.88,0.54,0,1.24,1536668684983
Hanna,Gehen,2,-74.25,172.38,1.36,0.4,0.23,1536671374404
Hanna,Gehen,2.06,-82.56,-84.5,-0.49,-0.01,-0.42,1536658619425
Hanna,Gehen,2.06,-81.88,148.31,0.47,-0.75,0.03,1536660798303
Hanna,Gehen,2.13,-61.69,-178.06,-0.92,0.83,1.04,1536670098838
Hanna,Gehen,2.25,-81.5,-173.75,-0.92,0.09,0.33,1536663355269
Hanna,Gehen,2.63,-72.44,175.63,0.46,0.9,-1.89,1536662715752
Hanna,Gehen,2.75,-71.88,-170.06,-0.92,-0.84,-0.84,1536656988587
Hanna,Gehen,2.81,-75.63,-172.38,0.61,1.12,1.96,1536658059000
Hanna,Gehen,2.81,-75.25,-176.75,-0.39,1.26,-0.26,1536658059101
Hanna,Gehen,2.88,-84.38,-175.44,0.54,-2.57,1.27,1536663354360
Hanna,Gehen,2.94,-72.19,144.94,-0.39,1.98,0.01,1536664757196
Hanna,Gehen,2.94,-69.63,-169.94,-0.33,0.38,0.96,1536656987779
Hanna,Gehen,3,-83.13,-178.25,0.97,0.51,-0.02,1536663355168
Hanna,Gehen,3,-79.25,171.31,-0.78,0.09,1.18,1536662713024
Hanna,Gehen,3.06,-72.13,-153.56,-1.7,-1,1.61,1536658118541
Hanna,Gehen,3.06,-63.38,163.13,-2.73,0.37,2.71,1536657912020
Hanna,Gehen,3.13,-72.81,165.38,0.89,-0.88,2.71,1536671401918
Hanna,Gehen,3.19,-82.44,31.94,1.04,0.68,0.5,1536658215638
Hanna,Gehen,3.25,-87.19,-177.81,0.57,1.74,-0.03,1536663354562
Hanna,Gehen,3.38,-82.56,-168.63,-0.33,-0.54,0.2,1536657937128
Hanna,Gehen,3.5,-86.19,-177.63,0.88,0.48,0.67,1536663354663
Hanna,Gehen,3.63,-74.31,165.56,0.17,-0.6,0.17,1536671404242
Hanna,Gehen,3.63,-72.31,-179,0.54,0.41,1.13,1536671374606
Hanna,Gehen,3.69,-82.63,168.44,0.97,-1.42,0.24,1536671402726
Hanna,Gehen,3.69,-73.5,150.94,-1.11,1.04,-0.79,1536658669904
Hanna,Gehen,3.69,-60,178.88,1.2,-0.64,1.81,1536658124806
Hanna,Gehen,3.75,-81.69,10.63,1.73,1.08,0.56,1536658215537
Hanna,Gehen,3.81,-73.56,173.63,0.31,0.38,-2.5,1536671374505
Hanna,Gehen,3.88,-56.94,-176.56,0.19,-0.93,2.53,1536657936016
Hanna,Gehen,4,-81.63,-4.31,0.63,0.82,2.64,1536658215436
Hanna,Gehen,4,-72.19,176.63,-0.44,0.9,0.35,1536662715045
Hanna,Gehen,4.06,-61.19,-178.63,-1.02,-0.67,1.3,1536670098737
Hanna,Gehen,4.13,-77.19,145.69,1,2.83,6.09,1536658668287
Hanna,Gehen,4.31,-62.63,179.75,-0.52,-0.36,0,1536670098939
Hanna,Gehen,4.38,-86.06,-177.38,1.48,-0.73,-0.06,1536663354764
Hanna,Gehen,4.38,-82.63,-98.63,-0.44,-2.33,0.15,1536658619526
Hanna,Gehen,4.44,-76.25,-144.56,0.63,-0.23,-3.18,1536657238593
Hanna,Gehen,4.44,-70.63,176.88,0.06,-0.83,0.11,1536662715651
Hanna,Gehen,4.5,-70.88,174.5,-0.14,1.2,0.24,1536662714842
Hanna,Gehen,4.69,-78.25,-168.88,0.31,0.64,1.76,1536658057689
Hanna,Gehen,4.69,-71.88,165.5,-0.11,0.09,-0.14,1536671402120
Hanna,Gehen,4.69,-70,-179.13,-0.44,-0.49,0.84,1536656988991
Hanna,Gehen,4.81,-86.5,178.5,0.64,0.79,0.22,1536671368758
Hanna,Gehen,4.81,-85.38,175.38,0.83,0.44,0.7,1536670121105
Hanna,Gehen,4.94,-71.75,173.06,-0.62,1.12,-0.28,1536662714944
Hanna,Gehen,5.13,-81.25,-178.25,-1.48,3.22,-0.59,1536658057386
Hanna,Gehen,5.19,-74,-140.75,-0.8,-1.08,0.73,1536668685893
Hanna,Gehen,5.25,-64.88,178.31,0.3,2.06,-0.9,1536670098434
Hanna,Gehen,5.5,-89.56,179.75,-1.25,-0.59,-0.47,1536658222051
Hanna,Gehen,5.63,-78.44,-175.38,-0.91,0.44,0.88,1536658058497
Hanna,Gehen,5.63,-73.38,156.69,0.74,1.47,0.53,1536671402221
Hanna,Gehen,5.81,-70.44,-177.19,-0.55,-0.2,1.07,1536656988688
Hanna,Gehen,5.81,-69.25,-179.19,0.08,0.84,0.64,1536656988789
Hanna,Gehen,5.88,-81.19,179.13,0.08,-0.7,-0.36,1536658058295
Hanna,Gehen,5.88,-69.75,174.56,-0.63,0.7,0.34,1536662714741
Hanna,Gehen,5.94,-82.75,159.25,1.55,-0.9,-0.08,1536671402625
Hanna,Gehen,6,-84.44,-174.88,-0.58,-3.47,-1.37,1536658055769
Hanna,Gehen,6,-68.69,179.56,-0.11,-0.51,1.29,1536656988890
Hanna,Gehen,6.06,-77.31,-160.56,-1.1,-5.1,0.99,1536658057891
Hanna,Gehen,6.13,-73.13,-179.5,-0.07,-1.7,-2.42,1536671374707
Hanna,Gehen,6.19,-84.31,-178.69,0.11,-0.15,0.15,1536663355067
Hanna,Gehen,6.31,-82.88,16.88,-0.14,0.07,-1.96,1536658056577
Hanna,Gehen,6.38,-87.13,177.63,-0.08,1.27,-3.54,1536671368556
Hanna,Gehen,6.38,-65.13,178.31,0.23,0.62,2.12,1536670098232
Hanna,Gehen,6.38,-61.75,177.13,-0.43,0.86,0.84,1536670098535
Hanna,Gehen,6.5,-78.38,-3.94,0.37,-0.06,-1.15,1536658215335
Hanna,Gehen,6.5,-69.63,175.44,-0.43,1.27,-0.4,1536662715550
Hanna,Gehen,6.69,-86.63,-177.81,0.44,0.5,-0.83,1536663354865
Hanna,Gehen,6.69,-71.75,172.75,0.71,1.19,-0.72,1536671374909
Hanna,Gehen,6.81,-79.63,142.38,-1.9,1.95,-4.22,1536671402322
Hanna,Gehen,6.88,-77.31,138.38,-1.49,12.39,-1.91,1536658883000
Hanna,Gehen,6.88,-71.56,176.75,0.05,-0.3,-0.14,1536671374808
Hanna,Gehen,6.94,-83.56,-175.44,-2.13,-0.24,-0.76,1536658055668
Hanna,Gehen,7,-79.5,173.44,0.33,0.23,0.57,1536662713327
Hanna,Gehen,7.06,-60,178.63,-0.21,-1.65,1.9,1536670098636
Hanna,Gehen,7.13,-83.06,139.88,0.72,1.43,-1.68,1536671402524
Hanna,Gehen,7.13,-71.13,-176.44,0.11,0.04,1.82,1536670112415
Hanna,Gehen,7.25,-69.31,174.19,-0.39,0.54,1.7,1536662714640
Hanna,Gehen,7.25,-56.69,179.06,-0.93,3.01,-1.35,1536658125009
Hanna,Gehen,7.31,-80.31,129.81,0.32,0.35,3.59,1536658668388
Hanna,Gehen,7.5,-86,-3.75,-0.96,-1.07,-3.06,1536658614182
Hanna,Gehen,7.5,-85.63,176.5,1.79,2.32,0.78,1536670120903
Hanna,Gehen,7.5,-84.94,-174.94,1.4,-1.45,-0.58,1536658614081
Hanna,Gehen,7.5,-64.75,176.94,0.51,0.19,0.05,1536670098333
Hanna,Gehen,7.56,-80.75,-170.69,-0.24,-1.01,-1.16,1536658118743
Hanna,Gehen,7.69,-83.94,174,-1.15,6.98,-0.95,1536658654303
Hanna,Gehen,7.69,-74.44,123,0.13,1.79,1.05,1536669932042
Hanna,Gehen,7.69,-67.94,177.5,-0.08,1.35,-2.27,1536670098131
Hanna,Gehen,7.75,-71.19,176.63,-0.41,1.03,0.85,1536662715146
Hanna,Gehen,7.81,-83.81,-179.31,-0.15,-1.12,-0.2,1536657937229
Hanna,Gehen,7.94,-80.38,169.44,0.33,3.1,3.33,1536658055971
Hanna,Gehen,7.94,-70.13,-179.63,-1.19,-1.2,2.16,1536670112313
Hanna,Gehen,8.13,-85.44,177.31,1.49,2.3,2.07,1536658119148
Hanna,Gehen,8.19,-84.63,5.31,0.84,0.13,0.85,1536670121004
Hanna,Gehen,8.19,-81.88,-177.56,1.72,-2.56,1.69,1536658056173
Hanna,Gehen,8.25,-85.81,4.06,1.5,2.42,-3.32,1536671368657
Hanna,Gehen,8.38,-85.56,176.19,0.72,0,0.5,1536658119350
Hanna,Gehen,8.38,-80.13,170.44,-1.34,-0.78,0.68,1536658058396
Hanna,Gehen,8.38,-63.31,-179.13,-0.37,-0.7,-1.54,1536658125413
Hanna,Gehen,8.44,-76.94,162.56,-0.51,1,-2.26,1536671404343
Hanna,Gehen,8.5,-72.56,138.81,-2.11,4.2,-1.35,1536660471836
Hanna,Gehen,8.5,-62.63,176.25,0.15,-0.97,0.04,1536670099040
Hanna,Gehen,8.63,-86.44,-179.19,0.37,1.03,-0.52,1536663354966
Hanna,Gehen,8.63,-55.63,-156.56,-0.52,0.18,0.18,1536664411074
Hanna,Gehen,8.88,-82.25,127.19,-1.14,1.41,-1.21,1536671402423
Hanna,Gehen,9.06,-86.81,177.88,-0.47,0.61,-1.15,1536658119046
Hanna,Gehen,9.06,-85.81,-4.06,-0.58,-2.92,0.72,1536658619324
Hanna,Gehen,9.06,-74.31,13.63,1.74,-6.6,-3.49,1536657901221
Hanna,Gehen,9.19,-78.63,179.63,-1.38,1.28,-1.66,1536670112010
Hanna,Gehen,9.44,-70.19,-141.88,-0.68,-6.53,1.8,1536658117126
Hanna,Gehen,9.69,-67.88,171.63,-0.09,1.87,1.22,1536662715449
Hanna,Gehen,9.88,-70.69,173.69,-0.62,0.45,0.59,1536662715247
Hanna,Gehen,10,-86.56,-2.94,0.09,-1.89,-2.65,1536658614283
Hanna,Gehen,10,-84.5,178.06,-0.59,1.18,1.03,1536670120802
Hanna,Gehen,10.13,-81.25,10.88,0.17,-0.3,0.26,1536670038274
Hanna,Gehen,10.19,-84.88,178,-1.86,-0.17,0.13,1536658118844
Hanna,Gehen,10.19,-79.38,107.13,0.17,0.29,-0.68,1536658655414
Hanna,Gehen,10.25,-81.56,173.81,-0.36,-0.35,-1.48,1536671368455
Hanna,Gehen,10.25,-73.81,173.63,0.55,-0.89,1.96,1536670112111
Hanna,Gehen,10.25,-71,173.63,-1.82,-0.84,1.45,1536670112212
Hanna,Gehen,10.31,-80.5,-171.44,-0.44,0.49,-3.54,1536670111909
Hanna,Gehen,10.31,-50.56,172.75,-0.57,-0.98,-0.78,1536670099849
Hanna,Gehen,10.56,-57.19,-157.63,-1.09,-2.42,1.06,1536664411175
Hanna,Gehen,10.75,-76.63,-139.19,2.69,3.82,0.13,1536661113909
Hanna,Gehen,10.81,-79.19,157.94,1.71,0.69,1.79,1536658056072
Hanna,Gehen,10.81,-77.5,-2.31,-0.88,-0.75,1.27,1536658215234
Hanna,Gehen,10.88,-55,178,-0.13,0.93,1.64,1536658125110
Hanna,Gehen,10.94,-85.06,-3.44,1.47,-1.54,-2.88,1536671405657
Hanna,Gehen,11.19,-85.31,-179.63,4.02,1.3,-3.59,1536657777781
Hanna,Gehen,11.25,-63.63,-151.69,-0.87,-0.4,-0.14,1536657984575
Hanna,Gehen,11.63,-88.25,-1.25,-0.43,-2.73,-0.43,1536658222152
Hanna,Gehen,11.63,-84.13,174.44,1.9,2.65,1.96,1536658119249
Hanna,Gehen,11.63,-71.25,176.44,0.85,0.81,-0.38,1536670097625
Hanna,Gehen,11.69,-78.88,13.69,-0.11,0.02,1.54,1536670038881
Hanna,Gehen,11.75,-86.88,-177.13,0.03,-1.24,0.64,1536658614384
Hanna,Gehen,11.81,-74.38,-163.25,-6.06,13.58,0.52,1536658680716
Hanna,Gehen,11.81,-69.06,169.88,1.04,2.85,1.04,1536670097726
Hanna,Gehen,11.81,-62.44,-176.94,-1.47,-1.98,-1.15,1536656986061
Hanna,Gehen,11.94,-84.38,179.5,-1.23,0,-0.51,1536657937330
Hanna,Gehen,11.94,-79.44,15.81,-0.17,-1.2,1.64,1536670038780
Hanna,Gehen,11.94,-77.88,170.63,0.35,0.89,0.46,1536658057790
