cattle_id,timestamp,label,ax,ay,az,gx,gy,gz
goat02,1,walking,3.24661,-8.82934,-4.03969,22.9878,-104.817,-53.2927
goat02,101,walking,2.95429,-9.06654,-5.87744,-35.5488,89.3902,119.939
goat02,201,walking,2.24986,-7.32943,-5.48449,-5.30488,42.561,76.4634
goat02,301,walking,1.05904,-6.87179,-5.6618,-29.3902,10.4878,31.7683
goat02,401,walking,-1.21239,-13.5806,-6.82147,30.7927,-65.6098,58.5976
goat02,501,walking,2.63083,-7.19765,-4.97174,34.1463,-16.7073,41.9512
goat02,601,walking,-0.936844,-8.87486,-9.68951,-51.4634,-6.76829,-48.2317
goat02,701,walking,-1.07581,-8.04584,-6.97002,-55.7927,32.9268,-51.7683
goat02,801,walking,0.71641,-6.68969,-6.86939,-10.2439,5.2439,-15.5488
goat02,901,walking,2.43436,-6.82866,-5.16582,-44.2073,135.183,27.1951
goat02,1001,walking,1.72034,-11.0025,-5.37188,-13.7195,104.512,111.341
goat02,1101,walking,3.10524,-8.5514,-5.34313,79.3293,47.7439,-30.6707
goat02,1201,walking,-0.709222,-5.91817,-4.21939,45.3049,-30.4878,-46.8293
goat02,1301,walking,5.08436,-10.739,-6.64896,-26.8902,-88.5976,16.7073
goat02,1401,walking,3.24182,-8.08178,-5.35511,-23.9024,-117.988,-59.0244
goat02,1501,walking,0.97518,-5.64502,-6.78793,-23.6585,47.3171,-97.3171
goat02,1601,walking,1.47355,-4.18106,-5.1778,-25.9756,-69.5122,2.86585
goat02,1701,walking,4.23856,-13.5303,-9.55773,-14.6951,169.695,135.549
goat02,1801,walking,2.3481,-6.9844,-5.61867,-5,88.1707,148.963
goat02,1901,walking,3.42871,-6.66094,-6.14819,95.4878,32.9268,-38.5976
goat02,2001,walking,-0.977576,-5.84869,-3.93187,13.4756,12.622,-14.6951
goat02,2101,walking,1.77306,-18.1331,-10.2574,29.1463,24.7561,120.671
goat02,2201,walking,2.98544,-6.36623,-4.6363,82.378,-72.6829,-53.4146
goat02,2301,walking,2.8896,-5.83431,-6.55072,-26.5854,-12.378,-110.976
goat02,2401,walking,-1.21957,-4.10918,-4.85673,-62.1951,57.8659,27.0122
goat02,2501,walking,3.56288,-14.7739,-14.9344,4.32927,139.756,227.988
goat02,2601,walking,3.15316,-4.68182,-4.08042,-15.5488,89.2073,97.378
goat02,2701,walking,4.01813,-6.37102,-5.92057,49.6341,50.9146,-14.2073
goat02,2801,walking,-0.630153,-4.60755,-3.65872,6.46341,-25.8537,-43.1098
goat02,2901,walking,1.66763,-20.831,-8.15366,14.3902,-47.0732,49.2683
goat02,3001,walking,5.83191,-5.94453,-6.00922,22.439,-109.634,8.29268
goat02,3101,walking,1.67003,-4.84475,-6.22247,-60.5488,5.12195,-165.366
goat02,3201,walking,0.148553,-2.85606,-3.86239,-46.2805,4.20732,28.1707
goat02,3301,walking,6.5603,-5.21134,-3.59403,-141.037,72.0122,-9.5122
goat02,3401,walking,1.84254,-10.6623,-3.26578,40,108.963,112.988
goat02,3501,walking,0.0934448,-7.1665,-5.31198,69.6951,6.09756,-63.9634
goat02,3601,walking,0.95122,-12.1311,-10.1184,72.561,74.939,106.159
goat02,3701,walking,4.9382,-4.0349,-4.11876,46.4634,-86.8293,-78.1098
goat02,3801,walking,4.27929,-6.8622,-6.60822,-31.6463,-108.841,-136.341
goat02,3901,walking,-1.43761,-4.23137,-5.23051,-59.4512,74.3293,4.26829
goat02,4001,walking,2.72188,-14.7116,-12.5623,-2.0122,149.756,226.646
goat02,4101,walking,5.81035,-5.4773,-4.76329,-15,70.9146,139.756
goat02,4201,walking,2.09652,-7.91885,-5.5396,87.8659,6.15854,-30.8537
goat02,4301,walking,0.131781,-4.88549,-4.32482,35.9146,0.243902,34.878
goat02,4401,walking,3.72821,-5.06279,-4.97893,-66.7073,-152.744,-33.4146
goat02,4501,walking,3.60841,-7.87572,-7.45402,-20.4268,-120.427,-27.378
goat02,4601,walking,-1.17884,-5.57314,-8.21356,-60.1829,128.659,-35.3049
goat02,4701,walking,-0.831419,-16.5014,-13.4057,-24.7561,-154.024,100.671
goat02,4801,walking,1.54543,-8.26867,-7.81103,-69.3902,89.2683,99.939
goat02,4901,walking,1.89765,-8.45556,-5.15384,97.5,-1.89024,15
goat02,5001,walking,-0.467224,-6.43811,-4.68662,108.598,6.58537,-123.11
goat02,5101,walking,0.220434,-12.6965,-5.25687,-14.3902,-121.159,-54.1463
goat02,5201,walking,7.32463,-6.40696,-8.23512,-8.10976,-240.793,27.561
goat02,5301,walking,0.129385,-5.11311,-6.60343,-51.0976,72.6829,-135.549
goat02,5401,walking,0.141365,-10.0896,-4.98851,6.34146,-167.256,-46.5854
goat02,5501,walking,2.60927,-3.5509,-3.64435,-31.2195,-84.0244,-21.4024
goat02,5601,walking,1.48314,-9.32531,-4.93341,13.2927,142.622,16.3415
goat02,5701,walking,-1.19322,-5.28323,-3.14597,51.0366,-9.81707,-59.6341
goat02,5801,walking,-0.45764,-19.9924,-10.3268,88.9024,-63.2317,92.5
goat02,5901,walking,6.0835,-4.86153,-7.54267,38.4146,-135.793,-40.2439
goat02,6001,walking,3.11483,-5.96849,-5.6594,-68.1707,-51.8902,-175.244
goat02,6101,walking,-0.970388,-4.74891,-5.80316,-22.3171,6.70732,2.56098
goat02,6201,walking,5.75764,-4.77048,-3.90072,-91.8902,44.5732,37.378
goat02,6301,walking,1.83535,-9.37084,-4.20022,35.3049,65.7927,70.6707
goat02,6401,walking,-0.541501,-6.60104,-4.44941,53.0488,20.4268,-69.4512
goat02,6501,walking,-0.131781,-13.1278,-12.0184,71.2195,35.122,153.659
goat02,6601,walking,5.17301,-3.80009,-5.16822,48.9024,-88.2927,-66.0366
goat02,6701,walking,3.54611,-7.05628,-5.92057,-42.2561,-95.4878,-148.902
goat02,6801,walking,-1.43042,-3.8504,-4.80642,-70.3659,81.3415,3.90244
goat02,6901,walking,4.08521,-17.8839,-9.95307,-4.93902,39.6951,208.415
goat02,7001,walking,4.55963,-6.3231,-5.89421,61.5244,92.7439,125.183
goat02,7101,walking,1.52387,-8.3669,-5.01247,38.1707,38.1098,-90.4878
goat02,7201,walking,1.49751,-3.77852,-4.29606,46.5244,19.7561,36.9512
goat02,7301,walking,4.88788,-4.00375,-6.13142,-17.6829,-207.805,-119.939
goat02,7401,walking,6.11944,-7.26473,-9.3948,-24.2073,-118.476,-18.6585
goat02,7501,walking,-1.13332,-7.07545,-7.30067,-60.6098,57.2561,-116.098
goat02,7601,walking,0.87934,-7.19046,-5.1754,15.3659,-208.171,-30.7927
goat02,7701,walking,4.34159,-5.04602,-3.27536,-112.866,66.4024,13.9024
goat02,7801,walking,1.89046,-8.22793,-4.0325,-1.82927,67.5,47.6829
goat02,7901,walking,-0.800271,-7.08503,-4.20981,80.8537,-21.6463,-90.2439
goat02,8001,walking,-0.91528,-18.8663,-14.2443,111.28,66.1585,125.61
goat02,8101,walking,6.6202,-5.14426,-5.45095,24.6341,-117.134,-2.13415
goat02,8201,walking,2.87043,-6.82866,-6.51238,-58.7805,-90.4268,-190.366
goat02,8301,walking,-1.93838,-4.40868,-4.55004,-71.9512,43.1707,1.40244
goat02,8401,walking,4.6938,-9.84285,-5.33354,-110.305,88.9024,131.341
goat02,8501,walking,2.24028,-8.97549,-4.62672,52.439,109.695,116.28
goat02,8601,walking,0.749954,-7.18806,-5.41501,66.2805,26.4634,-85.061
goat02,8701,walking,0.313879,-10.5808,-10.8372,83.4756,39.0854,119.024
goat02,8801,walking,7.07066,-4.48775,-3.98458,18.3537,-95.2439,-44.2683
goat02,8901,walking,2.86085,-6.95325,-6.06912,-27.6829,-56.5244,-102.439
goat02,9001,walking,-1.22916,-3.6707,-4.63151,-68.2927,80.061,9.39024
goat02,9101,walking,4.58119,-17.0237,-7.63851,-90.4878,153.049,204.634
goat02,9201,walking,2.78657,-7.00357,-4.33201,38.6585,132.622,183.902
goat02,9301,walking,2.17798,-7.77748,-5.25687,81.3415,17.0122,-80.9756
goat02,9401,walking,1.50949,-5.13946,-3.77373,27.378,-15.9756,33.9634
goat02,9501,walking,3.23942,-6.5028,-4.9981,-39.7561,-209.024,-132.683
goat02,9601,walking,7.14014,-7.65049,-8.76464,3.65854,-114.39,-27.7439
goat02,9701,walking,-1.56939,-5.31677,-6.29435,-98.9634,159.695,-65.4878
goat02,9801,walking,0.778707,-18.2529,-11.3332,-9.14634,-160.183,183.659
goat02,9901,walking,10.7749,-4.8759,-9.62481,50.122,120.427,7.07317
goat02,10001,walking,1.21239,-9.07613,-6.11704,23.1707,12.2561,-74.6341
goat02,10101,walking,-0.884132,-3.87676,-2.94711,52.6829,24.7561,-31.9512
goat02,10201,walking,2.27382,-4.91424,-5.44136,-28.9024,-226.28,-31.5854
goat02,10301,walking,3.96302,-5.47491,-8.55379,-26.5244,-80.7317,-50.122
goat02,10401,walking,-1.55262,-6.3806,-6.45488,-95.9756,119.39,-56.4024
goat02,10501,walking,-0.134177,-18.8854,-11.8387,-3.35366,-36.3415,220.244
goat02,10601,walking,6.23205,-6.02599,-6.08589,9.20732,174.146,69.7561
goat02,10701,walking,3.48381,-8.6712,-6.15298,93.6585,-6.70732,-44.3902
goat02,10801,walking,-0.620569,-4.12595,-3.78811,40.7927,24.5122,-39.4512
goat02,10901,walking,3.51017,-8.64005,-5.15863,-60.6707,-176.037,-15.7317
goat02,11001,walking,7.05149,-7.37016,-6.83824,-24.3902,-119.329,-61.0976
goat02,11101,walking,-1.43042,-5.67138,-7.57622,-67.8659,95.061,-89.0244
goat02,11201,walking,0.136573,-13.48,-10.4514,12.8049,-164.634,60.3659
goat02,11301,walking,7.27192,-4.94299,-4.37753,-89.1463,41.0976,28.0488
goat02,11401,walking,1.15488,-6.97721,-5.2976,39.6341,32.5,-0.243902
goat02,11501,walking,-1.04946,-5.72889,-3.94625,76.6463,-23.9634,-65.7927
goat02,11601,walking,0.241998,-19.9157,-10.449,46.6463,-99.6341,73.1707
goat02,11701,walking,7.49475,-6.10506,-6.41654,-7.56098,-111.585,-36.2195
goat02,11801,walking,0.368987,-4.92861,-7.11378,-71.1585,77.6829,-108.963
goat02,11901,walking,-1.73711,-6.63937,-8.15126,-25.8537,-55.6098,10.122
goat02,12001,walking,10.485,-6.36623,-2.73146,-68.8415,-30.3659,58.8415
goat02,12101,walking,0.44566,-7.90687,-4.8783,52.7439,38.4146,3.41463
goat02,12201,walking,-0.70443,-4.52608,-3.6132,67.9268,-3.10976,-73.7805
goat02,12301,walking,0.448056,-12.9122,-7.55705,-7.92683,-142.622,45
goat02,12401,walking,11.2158,-5.57794,-9.66315,-14.0244,-164.268,-12.3171
goat02,12501,walking,-1.63648,-6.19851,-8.15366,-75.2439,113.659,-102.561
goat02,12601,walking,-1.09259,-11.9777,-9.14082,-28.9634,-121.585,50.3659
goat02,12701,walking,5.86306,-5.13707,-4.42305,-44.1463,-6.34146,65.7927
goat02,12801,walking,0.366591,-7.49954,-5.1778,34.4512,36.8902,4.93902
goat02,12901,walking,-0.570253,-4.60755,-4.11876,52.378,40.1829,-30.3659
goat02,13001,walking,-0.584629,-12.2892,-6.95086,-33.2927,-113.963,67.1341
goat02,13101,walking,8.52264,-8.69755,-7.21681,-48.9024,-140.549,65.2439
goat02,13201,walking,-1.43282,-4.9358,-8.54661,-77.9878,112.134,-57.8659
goat02,13301,walking,-2.43675,-7.66727,-7.90208,-52.439,-45.2439,26.4024
goat02,13401,walking,-1.52147,-7.32224,-7.08743,-39.0854,72.8659,63.9634
goat02,13501,walking,-0.333047,-7.95,-4.52608,42.0122,-13.4756,91.0976
goat02,13601,walking,-1.78504,-8.70714,-5.79118,142.561,20.9146,-35.9146
goat02,13701,walking,-2.50145,-5.82952,-6.32789,67.8049,72.9268,24.1463
goat02,13801,walking,-3.01899,-6.91971,-6.30393,-92.8049,-14.4512,6.46341
goat02,13901,walking,-0.936844,-8.35732,-6.12423,-75.6098,-93.2317,11.7683
goat02,14001,walking,0.934448,-7.30307,-7.14014,-107.5,-58.6585,-89.7561
goat02,14101,walking,-0.788291,-8.36451,-6.09068,-66.7073,122.561,-98.4146
goat02,14201,walking,-1.33698,-12.5504,-8.97549,30.6098,-39.0244,-36.0366
goat02,14301,walking,0.230018,-6.54593,-6.96044,50.1829,50.9756,5.79268
goat02,14401,walking,0.577441,-7.31505,-4.17626,37.9878,-4.26829,68.4756
goat02,14501,walking,-0.972784,-6.21528,-4.71058,44.6951,-30.9756,-72.1341
goat02,14601,walking,-1.6245,-17.0022,-8.99706,2.0122,-6.64634,71.2805
goat02,14701,walking,-0.0359403,-8.82215,-7.21202,50.9756,-87.0732,-22.378
goat02,14801,walking,2.77699,-6.22486,-6.94846,-24.6951,-74.0854,-46.2195
goat02,14901,walking,-1.10217,-6.28237,-6.87658,-56.5854,130.061,-44.878
goat02,15001,walking,-0.244394,-12.4929,-10.1711,-27.8659,-157.988,28.2317
goat02,15101,walking,0.558273,-3.46225,-5.18259,-88.7195,88.9024,68.7195
goat02,15201,walking,2.27382,-6.83105,-5.16103,45.2439,46.3415,-22.0732
goat02,15301,walking,-0.361799,-6.01162,-4.28888,77.8659,17.5,-78.1707
goat02,15401,walking,-0.426492,-12.5575,-7.00596,-21.7683,-173.78,-39.8171
goat02,15501,walking,11.6399,-6.63937,-10.0849,11.0366,-162.317,6.09756
